"shard","parent_id","s3_prefix","neighborhood","city","region","country","country_code","destination","lat","lng","anchor_hint","why_fit"
"19","neighborhoods/af-kunduz/city-centre","images/Neighborhood_POIs/af-kunduz/city-centre/","City Centre","Kunduz","","Afghanistan","AF","City Centre, Kunduz, Afghanistan","36.72895","68.857","Kunduz city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/af-mazar-e-sharif/city-centre","images/Neighborhood_POIs/af-mazar-e-sharif/city-centre/","City Centre","Mazār-e Sharīf","","Afghanistan","AF","City Centre, Mazār-e Sharīf, Afghanistan","36.70904","67.11087","Mazār-e Sharīf city center","Central urban district (auto-added, pop >=100k)"
"01","neighborhoods/al-durres/durres-old-town","images/Neighborhood_POIs/al-durres/durres-old-town/","Durrës Old Town","Durrës","","Albania","AL","Durrës Old Town, Durrës, Albania","41.32355","19.45469","Durrës city center","Roman amphitheatre and seafront promenade"
"02","neighborhoods/al-elbasan/city-centre","images/Neighborhood_POIs/al-elbasan/city-centre/","City Centre","Elbasan","","Albania","AL","City Centre, Elbasan, Albania","41.11138","20.08224","Elbasan city center","Central urban district (auto-added, pop >=100k)"
"03","neighborhoods/al-tirana/city-center-skanderbeg","images/Neighborhood_POIs/al-tirana/city-center-skanderbeg/","City Center (Skanderbeg)","Tirana","","Albania","AL","City Center (Skanderbeg), Tirana, Albania","41.3307478","19.819233","Skanderbeg Square","Central walkable cultural core"
"04","neighborhoods/al-vlore/city-centre","images/Neighborhood_POIs/al-vlore/city-centre/","City Centre","Vlorë","","Albania","AL","City Centre, Vlorë, Albania","40.4696","19.48379","Vlorë city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/am-gyumri/city-centre","images/Neighborhood_POIs/am-gyumri/city-centre/","City Centre","Gyumri","","Armenia","AM","City Centre, Gyumri, Armenia","40.79305","43.84635","Gyumri city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/am-yerevan/cascade-district","images/Neighborhood_POIs/am-yerevan/cascade-district/","Cascade District","Yerevan","","Armenia","AM","Cascade District, Yerevan, Armenia","40.1903966","44.5154106","Cafesjian Center for the Arts","Arts cafe cultural hub"
"07","neighborhoods/am-yerevan/northern-avenue","images/Neighborhood_POIs/am-yerevan/northern-avenue/","Northern Avenue","Yerevan","","Armenia","AM","Northern Avenue, Yerevan, Armenia","40.1813324","44.5145872","Northern Avenue Pedestrian Street","Pedestrian upscale dining strip"
"08","neighborhoods/ao-baia-farta/city-centre","images/Neighborhood_POIs/ao-baia-farta/city-centre/","City Centre","Baía Farta","","Angola","AO","City Centre, Baía Farta, Angola","-12.60417","13.19667","Baía Farta city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/ao-balombo/city-centre","images/Neighborhood_POIs/ao-balombo/city-centre/","City Centre","Balombo","","Angola","AO","City Centre, Balombo, Angola","-12.35426","14.77232","Balombo city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/ao-benguela/city-center","images/Neighborhood_POIs/ao-benguela/city-center/","City Center","Benguela","","Angola","AO","City Center, Benguela, Angola","-12.5857756","13.4025807","Benguela Cathedral","central colonial coastal core"
"11","neighborhoods/ao-bocoio/city-centre","images/Neighborhood_POIs/ao-bocoio/city-centre/","City Centre","Bocoio","","Angola","AO","City Centre, Bocoio, Angola","-12.47017","14.13688","Bocoio city center","Central urban district (auto-added, pop >=100k)"
"12","neighborhoods/ao-caala/city-centre","images/Neighborhood_POIs/ao-caala/city-centre/","City Centre","Caála","","Angola","AO","City Centre, Caála, Angola","-12.8525","15.56056","Caála city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/ao-cabinda/city-center","images/Neighborhood_POIs/ao-cabinda/city-center/","City Center","Cabinda","","Angola","AO","City Center, Cabinda, Angola","-5.5629975","12.1796828","Cabinda Central Market","central coastal core"
"14","neighborhoods/ao-calumbo/city-centre","images/Neighborhood_POIs/ao-calumbo/city-centre/","City Centre","Calumbo","","Angola","AO","City Centre, Calumbo, Angola","-9.14692","13.41936","Calumbo city center","Central urban district (auto-added, pop >=100k)"
"15","neighborhoods/ao-catchiungo/city-centre","images/Neighborhood_POIs/ao-catchiungo/city-centre/","City Centre","Catchiungo","","Angola","AO","City Centre, Catchiungo, Angola","-12.56598","16.22589","Catchiungo city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/ao-chitato/city-centre","images/Neighborhood_POIs/ao-chitato/city-centre/","City Centre","Chitato","","Angola","AO","City Centre, Chitato, Angola","-7.3","20.73333","Chitato city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/ao-cuito/city-center","images/Neighborhood_POIs/ao-cuito/city-center/","City Center","Cuíto","","Angola","AO","City Center, Cuíto, Angola","-12.395786","16.9378042","Cuíto Central Market","central commercial district"
"18","neighborhoods/ao-dundo/city-centre","images/Neighborhood_POIs/ao-dundo/city-centre/","City Centre","Dundo","","Angola","AO","City Centre, Dundo, Angola","-7.36643","20.81557","Dundo city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/ao-gabela/city-centre","images/Neighborhood_POIs/ao-gabela/city-centre/","City Centre","Gabela","","Angola","AO","City Centre, Gabela, Angola","-10.85147","14.37993","Gabela city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/ao-huambo/city-center","images/Neighborhood_POIs/ao-huambo/city-center/","city center","Huambo","","Angola","AO","city center, Huambo, Angola","-12.7787167","15.7390608","Huambo Central Mosque","central commercial area"
"01","neighborhoods/ao-lobito/city-center","images/Neighborhood_POIs/ao-lobito/city-center/","City Center","Lobito","","Angola","AO","City Center, Lobito, Angola","-12.3666273","13.5513818","Lobito Central Market","Central commercial area"
"02","neighborhoods/ao-lobito/restinga","images/Neighborhood_POIs/ao-lobito/restinga/","Restinga","Lobito","","Angola","AO","Restinga, Lobito, Angola","-12.3161156","13.5839778","Restinga Beach","Coastal peninsula district"
"03","neighborhoods/ao-luanda/baixa","images/Neighborhood_POIs/ao-luanda/baixa/","Baixa","Luanda","","Angola","AO","Baixa, Luanda, Angola","-8.8083294","13.2234282","Fortaleza de São Miguel","central business historic core"
"04","neighborhoods/ao-luanda/ilha-do-cabo","images/Neighborhood_POIs/ao-luanda/ilha-do-cabo/","Ilha do Cabo","Luanda","","Angola","AO","Ilha do Cabo, Luanda, Angola","-8.9133625","13.3444219","Ilha do Cabo Beach","upscale waterfront dining strip"
"05","neighborhoods/ao-luanda/talatona","images/Neighborhood_POIs/ao-luanda/talatona/","Talatona","Luanda","","Angola","AO","Talatona, Luanda, Angola","-8.9114527","13.2024688","Talatona Shopping Center","modern upscale business district"
"06","neighborhoods/ao-lubango/city-center","images/Neighborhood_POIs/ao-lubango/city-center/","city center","Lubango","","Angola","AO","city center, Lubango, Angola","-14.9199161","13.4804419","Lubango Central Market","central business district"
"07","neighborhoods/ao-lucapa/city-centre","images/Neighborhood_POIs/ao-lucapa/city-centre/","City Centre","Lucapa","","Angola","AO","City Centre, Lucapa, Angola","-8.41915","20.74466","Lucapa city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/ao-luena/city-centre","images/Neighborhood_POIs/ao-luena/city-centre/","City Centre","Luena","","Angola","AO","City Centre, Luena, Angola","-11.7882041","19.9092702","Luena Central Market","Central urban district"
"09","neighborhoods/ao-malanje/city-center","images/Neighborhood_POIs/ao-malanje/city-center/","City Center","Malanje","","Angola","AO","City Center, Malanje, Angola","-9.5510016","16.3389538","Malanje Central Mosque","Central commercial district"
"10","neighborhoods/ao-mbanza-kongo/city-centre","images/Neighborhood_POIs/ao-mbanza-kongo/city-centre/","City Centre","Mbanza Kongo","","Angola","AO","City Centre, Mbanza Kongo, Angola","-6.26667","14.23833","Mbanza Kongo city center","Central urban district (auto-added, pop >=100k)"
"11","neighborhoods/ao-menongue/centro","images/Neighborhood_POIs/ao-menongue/centro/","Centro","Menongue","","Angola","AO","Centro, Menongue, Angola","-14.6593731","17.6616173","Menongue Central Square","town center"
"12","neighborhoods/ao-mossamedes/centro","images/Neighborhood_POIs/ao-mossamedes/centro/","Centro","Mossamedes","","Angola","AO","Centro, Mossamedes, Angola","-15.2003797","12.1435215","Mossamedes Cathedral","colonial coastal center"
"13","neighborhoods/ao-n-dalatando/city-centre","images/Neighborhood_POIs/ao-n-dalatando/city-centre/","City Centre","N'dalatando","","Angola","AO","City Centre, N'dalatando, Angola","-9.29782","14.91162","N'dalatando city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/ao-ondjiva/city-centre","images/Neighborhood_POIs/ao-ondjiva/city-centre/","City Centre","Ondjiva","","Angola","AO","City Centre, Ondjiva, Angola","-17.06667","15.73333","Ondjiva city center","Central urban district (auto-added, pop >=100k)"
"15","neighborhoods/ao-panguila/city-centre","images/Neighborhood_POIs/ao-panguila/city-centre/","City Centre","Panguíla","","Angola","AO","City Centre, Panguíla, Angola","-8.69335","13.44914","Panguíla city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/ao-ramiros/city-centre","images/Neighborhood_POIs/ao-ramiros/city-centre/","City Centre","Ramiros","","Angola","AO","City Centre, Ramiros, Angola","-9.06259","13.0456","Ramiros city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/ao-saurimo/city-centre","images/Neighborhood_POIs/ao-saurimo/city-centre/","City Centre","Saurimo","","Angola","AO","City Centre, Saurimo, Angola","-9.66078","20.39155","Saurimo city center","Central urban district (auto-added, pop >=100k)"
"18","neighborhoods/ao-soyo/city-centre","images/Neighborhood_POIs/ao-soyo/city-centre/","City Centre","Soyo","","Angola","AO","City Centre, Soyo, Angola","-6.1349","12.36894","Soyo city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/ao-sumbe/city-centre","images/Neighborhood_POIs/ao-sumbe/city-centre/","City Centre","Sumbe","","Angola","AO","City Centre, Sumbe, Angola","-11.20605","13.84371","Sumbe city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/ao-uige/city-center","images/Neighborhood_POIs/ao-uige/city-center/","City Center","Uíge","","Angola","AO","City Center, Uíge, Angola","-8.8396955","13.2367779","Uíge Central Mosque","central commercial district"
"01","neighborhoods/ao-zango/city-centre","images/Neighborhood_POIs/ao-zango/city-centre/","City Centre","Zango","","Angola","AO","City Centre, Zango, Angola","-9.01212","13.38437","Zango city center","Central urban district (auto-added, pop >=100k)"
"02","neighborhoods/ar-bahia-blanca/centro","images/Neighborhood_POIs/ar-bahia-blanca/centro/","Centro","Bahía Blanca","","Argentina","AR","Centro, Bahía Blanca, Argentina","-38.7176219","-62.2654851","Plaza Rivadavia","Historic center, dining, walkable"
"03","neighborhoods/ar-bahia-blanca/plaza-rivadavia-area","images/Neighborhood_POIs/ar-bahia-blanca/plaza-rivadavia-area/","Plaza Rivadavia area","Bahía Blanca","","Argentina","AR","Plaza Rivadavia area, Bahía Blanca, Argentina","-38.7176219","-62.2654851","Plaza Rivadavia","Central plaza, cafes, commercial"
"04","neighborhoods/ar-catamarca/city-centre","images/Neighborhood_POIs/ar-catamarca/city-centre/","City Centre","Catamarca","","Argentina","AR","City Centre, Catamarca, Argentina","-28.46957","-65.78524","Catamarca city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/ar-comodoro-rivadavia/city-centre","images/Neighborhood_POIs/ar-comodoro-rivadavia/city-centre/","City Centre","Comodoro Rivadavia","","Argentina","AR","City Centre, Comodoro Rivadavia, Argentina","-45.86256","-67.494","Comodoro Rivadavia city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/ar-concordia/city-centre","images/Neighborhood_POIs/ar-concordia/city-centre/","City Centre","Concordia","","Argentina","AR","City Centre, Concordia, Argentina","-31.39195","-58.01706","Concordia city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/ar-cordoba/centro","images/Neighborhood_POIs/ar-cordoba/centro/","Centro","Córdoba","","Argentina","AR","Centro, Córdoba, Argentina","-31.4167528","-64.1835619","Plaza San Martín","Historic walkable urban core"
"08","neighborhoods/ar-cordoba/cerro-de-las-rosas","images/Neighborhood_POIs/ar-cordoba/cerro-de-las-rosas/","Cerro de las Rosas","Córdoba","","Argentina","AR","Cerro de las Rosas, Córdoba, Argentina","-31.4198818","-64.1882711","Patio Olmos","Upscale dining and nightlife"
"09","neighborhoods/ar-cordoba/guemes","images/Neighborhood_POIs/ar-cordoba/guemes/","Güemes","Córdoba","","Argentina","AR","Güemes, Córdoba, Argentina","-31.4164618","-64.1846706","Pasaje Santa Catalina","Bohemian arts and dining"
"10","neighborhoods/ar-corrientes/centro","images/Neighborhood_POIs/ar-corrientes/centro/","Centro","Corrientes","","Argentina","AR","Centro, Corrientes, Argentina","-27.4647431","-58.8362863","Teatro Oficial Juan de Vera","central commercial riverside core"
"11","neighborhoods/ar-corrientes/costanera","images/Neighborhood_POIs/ar-corrientes/costanera/","Costanera","Corrientes","","Argentina","AR","Costanera, Corrientes, Argentina","-27.4775131","-58.8551667","Costanera Sur","riverfront promenade dining area"
"12","neighborhoods/ar-ezeiza/city-centre","images/Neighborhood_POIs/ar-ezeiza/city-centre/","City Centre","Ezeiza","","Argentina","AR","City Centre, Ezeiza, Argentina","-34.8544","-58.52474","Ezeiza city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/ar-formosa/city-centre","images/Neighborhood_POIs/ar-formosa/city-centre/","City Centre","Formosa","","Argentina","AR","City Centre, Formosa, Argentina","-26.18489","-58.17313","Formosa city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/ar-ituzaingo/city-centre","images/Neighborhood_POIs/ar-ituzaingo/city-centre/","City Centre","Ituzaingó","","Argentina","AR","City Centre, Ituzaingó, Argentina","-27.58504","-56.68707","Ituzaingó city center","Central urban district (auto-added, pop >=100k)"
"15","neighborhoods/ar-la-plata/city-centre","images/Neighborhood_POIs/ar-la-plata/city-centre/","City Centre","La Plata","","Argentina","AR","City Centre, La Plata, Argentina","-34.92126","-57.95442","La Plata city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/ar-la-rioja/city-centre","images/Neighborhood_POIs/ar-la-rioja/city-centre/","City Centre","La Rioja","","Argentina","AR","City Centre, La Rioja, Argentina","-29.41328","-66.85637","La Rioja city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/ar-mar-del-plata/centro","images/Neighborhood_POIs/ar-mar-del-plata/centro/","Centro","Mar del Plata","","Argentina","AR","Centro, Mar del Plata, Argentina","-38.0056254","-57.5434824","Plaza Colón","central downtown district"
"18","neighborhoods/ar-mar-del-plata/playa-grande","images/Neighborhood_POIs/ar-mar-del-plata/playa-grande/","Playa Grande","Mar del Plata","","Argentina","AR","Playa Grande, Mar del Plata, Argentina","-38.0277922","-57.5323172","Playa Grande Beach","upscale beach neighborhood"
"19","neighborhoods/ar-mendoza/ciudad-de-mendoza-centro","images/Neighborhood_POIs/ar-mendoza/ciudad-de-mendoza-centro/","Ciudad de Mendoza Centro","Mendoza","","Argentina","AR","Ciudad de Mendoza Centro, Mendoza, Argentina","-32.9253532","-68.8436635","Correo Argentino","Plaza Independencia wine-city core"
"00","neighborhoods/ar-merlo/centro","images/Neighborhood_POIs/ar-merlo/centro/","Centro","Merlo","","Argentina","AR","Centro, Merlo, Argentina","-34.6828919","-58.728691","Plaza San Martín","Central commercial district"
"01","neighborhoods/ar-neuquen/city-centre","images/Neighborhood_POIs/ar-neuquen/city-centre/","City Centre","Neuquén","","Argentina","AR","City Centre, Neuquén, Argentina","-38.95078","-68.0592","Neuquén city center","Central urban district (auto-added, pop >=100k)"
"02","neighborhoods/ar-parana/city-centre","images/Neighborhood_POIs/ar-parana/city-centre/","City Centre","Paraná","","Argentina","AR","City Centre, Paraná, Argentina","-31.73271","-60.52897","Paraná city center","Central urban district (auto-added, pop >=100k)"
"03","neighborhoods/ar-posadas/centro","images/Neighborhood_POIs/ar-posadas/centro/","Centro","Posadas","","Argentina","AR","Centro, Posadas, Argentina","-27.366443","-55.894039","Plaza 9 de Julio","Riverside central commercial core"
"04","neighborhoods/ar-posadas/costanera","images/Neighborhood_POIs/ar-posadas/costanera/","Costanera","Posadas","","Argentina","AR","Costanera, Posadas, Argentina","-27.3789994","-55.8858506","Costanera de Posadas","Waterfront promenade dining area"
"05","neighborhoods/ar-quilmes/centro","images/Neighborhood_POIs/ar-quilmes/centro/","Centro","Quilmes","","Argentina","AR","Centro, Quilmes, Argentina","-34.7199951","-58.2543591","Plaza San Martín","central commercial walkable district"
"06","neighborhoods/ar-rawson/city-centre","images/Neighborhood_POIs/ar-rawson/city-centre/","City Centre","Rawson","","Argentina","AR","City Centre, Rawson, Argentina","-31.58189","-68.54211","Rawson city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/ar-resistencia/centro","images/Neighborhood_POIs/ar-resistencia/centro/","Centro","Resistencia","","Argentina","AR","Centro, Resistencia, Argentina","-27.4511801","-58.9865412","Plaza 25 de Mayo","central walkable plaza district"
"08","neighborhoods/ar-resistencia/villa-don-andres","images/Neighborhood_POIs/ar-resistencia/villa-don-andres/","Villa Don Andres","Resistencia","","Argentina","AR","Villa Don Andres, Resistencia, Argentina","-27.4333572","-58.9675438","Parque de la Democracia","upscale residential area"
"09","neighborhoods/ar-rio-cuarto/city-centre","images/Neighborhood_POIs/ar-rio-cuarto/city-centre/","City Centre","Río Cuarto","","Argentina","AR","City Centre, Río Cuarto, Argentina","-33.13044","-64.35272","Río Cuarto city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/ar-salta/barrio-norte","images/Neighborhood_POIs/ar-salta/barrio-norte/","Barrio Norte","Salta","","Argentina","AR","Barrio Norte, Salta, Argentina","-24.7935293","-65.4019326","Parque San Martín","Affluent residential dining area"
"11","neighborhoods/ar-salta/centro-casco-historico","images/Neighborhood_POIs/ar-salta/centro-casco-historico/","Centro / Casco Histórico","Salta","","Argentina","AR","Centro / Casco Histórico, Salta, Argentina","-24.7884361","-65.4104676","Cathedral of Salta","Historic walkable colonial center"
"12","neighborhoods/ar-san-juan/city-centre","images/Neighborhood_POIs/ar-san-juan/city-centre/","City Centre","San Juan","","Argentina","AR","City Centre, San Juan, Argentina","-31.53726","-68.52568","San Juan city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/ar-san-luis/city-centre","images/Neighborhood_POIs/ar-san-luis/city-centre/","City Centre","San Luis","","Argentina","AR","City Centre, San Luis, Argentina","-33.2914","-66.32467","San Luis city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/ar-san-miguel-de-tucuman/barrio-norte","images/Neighborhood_POIs/ar-san-miguel-de-tucuman/barrio-norte/","Barrio Norte","San Miguel de Tucumán","","Argentina","AR","Barrio Norte, San Miguel de Tucumán, Argentina","-26.8292678","-65.1916518","Parque 9 de Julio","affluent leafy residential area"
"15","neighborhoods/ar-san-miguel-de-tucuman/centro","images/Neighborhood_POIs/ar-san-miguel-de-tucuman/centro/","Centro","San Miguel de Tucumán","","Argentina","AR","Centro, San Miguel de Tucumán, Argentina","-26.8304431","-65.2038084","Plaza Independencia","central walkable historic core"
"16","neighborhoods/ar-san-miguel-de-tucuman/yerba-buena","images/Neighborhood_POIs/ar-san-miguel-de-tucuman/yerba-buena/","Yerba Buena","San Miguel de Tucumán","","Argentina","AR","Yerba Buena, San Miguel de Tucumán, Argentina","-26.809245","-65.2878224","Yerba Buena Plaza","upscale suburban dining district"
"17","neighborhoods/ar-san-nicolas-de-los-arroyos/city-centre","images/Neighborhood_POIs/ar-san-nicolas-de-los-arroyos/city-centre/","City Centre","San Nicolás de los Arroyos","","Argentina","AR","City Centre, San Nicolás de los Arroyos, Argentina","-33.33425","-60.2108","San Nicolás de los Arroyos city center","Central urban district (auto-added, pop >=100k)"
"18","neighborhoods/ar-san-rafael/city-centre","images/Neighborhood_POIs/ar-san-rafael/city-centre/","City Centre","San Rafael","","Argentina","AR","City Centre, San Rafael, Argentina","-34.61531","-68.33238","San Rafael city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/ar-santa-fe/centro","images/Neighborhood_POIs/ar-santa-fe/centro/","Centro","Santa Fe","","Argentina","AR","Centro, Santa Fe, Argentina","-31.6570967","-60.7105556","Plaza 25 de Mayo","Central downtown commercial area"
"00","neighborhoods/ar-santa-fe/recoleta","images/Neighborhood_POIs/ar-santa-fe/recoleta/","Recoleta","Santa Fe","","Argentina","AR","Recoleta, Santa Fe, Argentina","-31.6351072","-60.7205985","Parque Juan de Garay","Upscale central residential district"
"01","neighborhoods/ar-santa-rosa/city-centre","images/Neighborhood_POIs/ar-santa-rosa/city-centre/","City Centre","Santa Rosa","","Argentina","AR","City Centre, Santa Rosa, Argentina","-36.61617","-64.28991","Santa Rosa city center","Central urban district (auto-added, pop >=100k)"
"02","neighborhoods/ar-santiago-del-estero/centro","images/Neighborhood_POIs/ar-santiago-del-estero/centro/","Centro","Santiago del Estero","","Argentina","AR","Centro, Santiago del Estero, Argentina","-27.7875278","-64.2595019","Plaza Libertad","central plaza commercial district"
"03","neighborhoods/ar-tandil/city-centre","images/Neighborhood_POIs/ar-tandil/city-centre/","City Centre","Tandil","","Argentina","AR","City Centre, Tandil, Argentina","-37.3287","-59.1369","Tandil city center","Central urban district (auto-added, pop >=100k)"
"04","neighborhoods/at-graz/innere-stadt","images/Neighborhood_POIs/at-graz/innere-stadt/","Innere Stadt","Graz","","Austria","AT","Innere Stadt, Graz, Austria","47.0735697","15.4377041","Graz Clock Tower","UNESCO historic walkable core"
"05","neighborhoods/at-graz/st-leonhard","images/Neighborhood_POIs/at-graz/st-leonhard/","St. Leonhard","Graz","","Austria","AT","St. Leonhard, Graz, Austria","47.0785692","15.4650289","St. Leonhard Church","Walkable central residential district"
"06","neighborhoods/at-innsbruck/altstadt","images/Neighborhood_POIs/at-innsbruck/altstadt/","Altstadt","Innsbruck","","Austria","AT","Altstadt, Innsbruck, Austria","47.2681973","11.3927729","Altstadt","Golden-roof alpine old town"
"07","neighborhoods/at-klagenfurt/innere-stadt","images/Neighborhood_POIs/at-klagenfurt/innere-stadt/","Innere Stadt","Klagenfurt","","Austria","AT","Innere Stadt, Klagenfurt, Austria","46.624976","14.308406","Innere Stadt","Renaissance courtyards centre"
"08","neighborhoods/at-salzburg/andraviertel","images/Neighborhood_POIs/at-salzburg/andraviertel/","Andräviertel","Salzburg","","Austria","AT","Andräviertel, Salzburg, Austria","47.79941","13.04399","Salzburg city center","Right-bank quarter of galleries and cafes"
