"city","country","country_code","neighborhood","why_fit","confidence","lat","lng","anchor_spot","places_query","geocode_status","location_id","display_slug","internal_location_type","image_name_id","image_name_slug","matched_via","geo_distance_km","match_status"
"Córdoba","Argentina","AR","Nueva Córdoba","Trendy central student district","high","-31.4290925","-64.1849613","Plaza España","Plaza España, Nueva Córdoba, Córdoba, Argentina","ok","553248635939577639","argentina/cordoba/cordoba/nueva-cordoba","neighborhood","553248635939577639.jpg","argentina/cordoba/cordoba/nueva-cordoba.jpg","seed:argentina/cordoba/cordoba/nueva-cordoba","0.3","resolved"
"Córdoba","Argentina","AR","Cerro de las Rosas","Upscale dining and nightlife","medium","-31.4198818","-64.1882711","Patio Olmos","Patio Olmos, Cerro de las Rosas, Córdoba, Argentina","ok","","","","","","","","unresolved"
"Córdoba","Argentina","AR","Güemes","Bohemian arts and dining","medium","-31.4164618","-64.1846706","Pasaje Santa Catalina","Pasaje Santa Catalina, Güemes, Córdoba, Argentina","ok","","","","","","","","unresolved"
"Mar del Plata","Argentina","AR","Centro","central downtown district","medium","-38.0056254","-57.5434824","Plaza Colón","Plaza Colón, Centro, Mar del Plata, Argentina","ok","","","","","","","","unresolved"
"Mar del Plata","Argentina","AR","La Perla","beachfront tourist area","medium","-37.9922222","-57.5444444","Playa La Perla","Playa La Perla, La Perla, Mar del Plata, Argentina","ok","553248633981728388","argentina/buenos-aires-province/mar-del-plata/la-perla","neighborhood","553248633981728388.jpg","argentina/buenos-aires-province/mar-del-plata/la-perla.jpg","seed:argentina/buenos-aires-province/mar-del-plata/la-perla","0.2","resolved"
"Mar del Plata","Argentina","AR","Playa Grande","upscale beach neighborhood","medium","-38.0277922","-57.5323172","Playa Grande Beach","Playa Grande Beach, Playa Grande, Mar del Plata, Argentina","ok","","","","","","","","unresolved"
"San Miguel de Tucumán","Argentina","AR","Barrio Norte","affluent leafy residential area","medium","-26.8292678","-65.1916518","Parque 9 de Julio","Parque 9 de Julio, Barrio Norte, San Miguel de Tucumán, Argentina","ok","","","","","","","","unresolved"
"San Miguel de Tucumán","Argentina","AR","Centro","central walkable historic core","medium","-26.8304431","-65.2038084","Plaza Independencia","Plaza Independencia, Centro, San Miguel de Tucumán, Argentina","ok","","","","","","","","unresolved"
"San Miguel de Tucumán","Argentina","AR","Yerba Buena","upscale suburban dining district","medium","-26.809245","-65.2878224","Yerba Buena Plaza","Yerba Buena Plaza, Yerba Buena, San Miguel de Tucumán, Argentina","ok","","","","","","","","unresolved"
"Salta","Argentina","AR","Centro / Casco Histórico","Historic walkable colonial center","medium","-24.7884361","-65.4104676","Cathedral of Salta","Cathedral of Salta, Centro / Casco Histórico, Salta, Argentina","ok","","","","","","","","unresolved"
"Salta","Argentina","AR","Barrio Norte","Affluent residential dining area","low","-24.7935293","-65.4019326","Parque San Martín","Parque San Martín, Barrio Norte, Salta, Argentina","ok","","","","","","","","unresolved"
"Santa Fe","Argentina","AR","Centro","Central downtown commercial area","medium","-31.6570967","-60.7105556","Plaza 25 de Mayo","Plaza 25 de Mayo, Centro, Santa Fe, Argentina","ok","","","","","","","","unresolved"
"Santa Fe","Argentina","AR","Recoleta","Upscale central residential district","low","-31.6351072","-60.7205985","Parque Juan de Garay","Parque Juan de Garay, Recoleta, Santa Fe, Argentina","ok","","","","","","","","unresolved"
"Corrientes","Argentina","AR","Centro","central commercial riverside core","medium","-27.4647431","-58.8362863","Teatro Oficial Juan de Vera","Teatro Oficial Juan de Vera, Centro, Corrientes, Argentina","ok","","","","","","","","unresolved"
"Corrientes","Argentina","AR","Costanera","riverfront promenade dining area","medium","-27.4775131","-58.8551667","Costanera Sur","Costanera Sur, Costanera, Corrientes, Argentina","ok","","","","","","","","unresolved"
"Posadas","Argentina","AR","Centro","Riverside central commercial core","medium","-27.366443","-55.894039","Plaza 9 de Julio","Plaza 9 de Julio, Centro, Posadas, Argentina","ok","","","","","","","","unresolved"
"Posadas","Argentina","AR","Costanera","Waterfront promenade dining area","medium","-27.3789994","-55.8858506","Costanera de Posadas","Costanera de Posadas, Costanera, Posadas, Argentina","ok","","","","","","","","unresolved"
"Bahía Blanca","Argentina","AR","Centro","Historic center, dining, walkable","medium","-38.7176219","-62.2654851","Plaza Rivadavia","Plaza Rivadavia, Centro, Bahía Blanca, Argentina","ok","","","","","","","","unresolved"
"Bahía Blanca","Argentina","AR","Plaza Rivadavia area","Central plaza, cafes, commercial","medium","-38.7176219","-62.2654851","Plaza Rivadavia","Plaza Rivadavia, Plaza Rivadavia area, Bahía Blanca, Argentina","ok","","","","","","","","unresolved"
"Resistencia","Argentina","AR","Centro","central walkable plaza district","medium","-27.4511801","-58.9865412","Plaza 25 de Mayo","Plaza 25 de Mayo, Centro, Resistencia, Argentina","ok","","","","","","","","unresolved"
"Resistencia","Argentina","AR","Villa Don Andres","upscale residential area","low","-27.4333572","-58.9675438","Parque de la Democracia","Parque de la Democracia, Villa Don Andres, Resistencia, Argentina","ok","","","","","","","","unresolved"
"Merlo","Argentina","AR","Centro","Central commercial district","low","-34.6828919","-58.728691","Plaza San Martín","Plaza San Martín, Centro, Merlo, Argentina","ok","","","","","","","","unresolved"
"Quilmes","Argentina","AR","Centro","central commercial walkable district","medium","-34.7199951","-58.2543591","Plaza San Martín","Plaza San Martín, Centro, Quilmes, Argentina","ok","","","","","","","","unresolved"
"San Salvador de Jujuy","Argentina","AR","Centro","central historic commercial core","low","-24.1858241","-65.2994762","Plaza Belgrano","Plaza Belgrano, Centro, San Salvador de Jujuy, Argentina","ok","553248635976400101","argentina/jujuy-province/san-salvador-de-jujuy/barrio-centro","neighborhood","553248635976400101.jpg","argentina/jujuy-province/san-salvador-de-jujuy/barrio-centro.jpg","seed:argentina/jujuy-province/san-salvador-de-jujuy/barrio-centro","0.8","resolved"
"Santiago del Estero","Argentina","AR","Centro","central plaza commercial district","medium","-27.7875278","-64.2595019","Plaza Libertad","Plaza Libertad, Centro, Santiago del Estero, Argentina","ok","","","","","","","","unresolved"
"Yerevan","Armenia","AM","Kentron","Central walkable cultural core","high","40.1858583","44.5150806","Yerevan Opera Theatre","Yerevan Opera Theatre, Kentron, Yerevan, Armenia","ok","553248622006369547","armenia/kentron","neighborhood","553248622006369547.jpg","armenia/kentron.jpg","city-slug:armenia/kentron","1.0","resolved"
"Yerevan","Armenia","AM","Northern Avenue","Pedestrian upscale dining strip","high","40.1813324","44.5145872","Northern Avenue Pedestrian Street","Northern Avenue Pedestrian Street, Northern Avenue, Yerevan, Armenia","ok","","","","","","","","unresolved"
"Yerevan","Armenia","AM","Cascade District","Arts cafe cultural hub","medium","40.1903966","44.5154106","Cafesjian Center for the Arts","Cafesjian Center for the Arts, Cascade District, Yerevan, Armenia","ok","","","","","","","","unresolved"
"Yerevan","Armenia","AM","Republic Square area","Central tourist commercial core","medium","40.1776945","44.5126511","Republic Square","Republic Square, Republic Square area, Yerevan, Armenia","ok","6096352","","","6096352.jpg","","keyword:Republic Square Yerevan Armenia","","id_only"
"Sydney","Australia","AU","Bondi","Iconic beachside lifestyle district","high","-33.8914755","151.2766845","Bondi Beach","Bondi Beach, Bondi, Sydney, Australia","ok","178147","australia/new-south-wales/sydney/bondi","neighborhood","178147.jpg","australia/new-south-wales/sydney/bondi.jpg","seed:australia/new-south-wales/sydney/bondi","1.2","resolved"
"Sydney","Australia","AU","CBD","Central business district core","high","-33.8703155","151.2088801","Sydney Tower Eye","Sydney Tower Eye, CBD, Sydney, Australia","ok","553248635976384242","australia/new-south-wales/sydney/parramatta-cbd","neighborhood","553248635976384242.jpg","australia/new-south-wales/sydney/parramatta-cbd.jpg","seed:australia/new-south-wales/sydney/parramatta-cbd","19.8","resolved"
"Sydney","Australia","AU","Chippendale","Creative arts dining hub","high","-33.8865381","151.2002712","White Rabbit Gallery","White Rabbit Gallery, Chippendale, Sydney, Australia","ok","181083","australia/new-south-wales/chippendale","neighborhood","181083.jpg","australia/new-south-wales/chippendale.jpg","city-slug:australia/new-south-wales/chippendale","0.1","resolved"
"Sydney","Australia","AU","Darlinghurst","Vibrant inner-city cafe scene","high","-33.879826","151.215939","Oxford Street","Oxford Street, Darlinghurst, Sydney, Australia","ok","6129780","australia/new-south-wales/darlinghurst","neighborhood","6129780.jpg","australia/new-south-wales/darlinghurst.jpg","seed:australia/new-south-wales/darlinghurst","0.4","resolved"
"Sydney","Australia","AU","Glebe","Eclectic walkable cafe district","high","-33.8833975","151.1909906","Glebe Markets","Glebe Markets, Glebe, Sydney, Australia","ok","181085","australia/new-south-wales/sydney/glebe","neighborhood","181085.jpg","australia/new-south-wales/sydney/glebe.jpg","city-slug:australia/new-south-wales/sydney/glebe","0.7","resolved"
"Sydney","Australia","AU","Manly","Coastal lifestyle beach district","high","-33.7931501","151.2876488","Manly Beach","Manly Beach, Manly, Sydney, Australia","ok","553248634380746177","australia/new-south-wales/manly-vale","neighborhood","553248634380746177.jpg","australia/new-south-wales/manly-vale.jpg","seed:australia/new-south-wales/manly-vale","2.3","resolved"
"Sydney","Australia","AU","Newtown","Bohemian eclectic walkable district","high","-33.8960809","151.1807042","Newtown Street Art and King Street","King Street, Newtown, Sydney, Australia","ok","6048208","australia/new-south-wales/newtown","neighborhood","6048208.jpg","australia/new-south-wales/newtown.jpg","seed:australia/new-south-wales/newtown","0.3","resolved"
"Sydney","Australia","AU","Paddington","Affluent stylish boutique area","high","-33.8872535","151.2295995","Paddington Markets","Paddington Markets, Paddington, Sydney, Australia","ok","6130132","australia/new-south-wales/paddington","neighborhood","6130132.jpg","australia/new-south-wales/paddington.jpg","seed:australia/new-south-wales/paddington","0.4","resolved"
"Sydney","Australia","AU","Potts Point","Dense elegant cosmopolitan area","high","-33.8728689","151.2250535","El Alamein Fountain","El Alamein Fountain, Potts Point, Sydney, Australia","ok","7589","australia/new-south-wales/sydney/potts-point","neighborhood","7589.jpg","australia/new-south-wales/sydney/potts-point.jpg","city-slug:australia/new-south-wales/sydney/potts-point","0.6","resolved"
"Sydney","Australia","AU","Surry Hills","Trendy creative dining hub","high","-33.886598","151.215414","Bourke Street","Bourke Street, Surry Hills, Sydney, Australia","ok","181029","australia/new-south-wales/sydney/surry-hills","neighborhood","181029.jpg","australia/new-south-wales/sydney/surry-hills.jpg","seed:australia/new-south-wales/sydney/surry-hills","0.3","resolved"
"Sydney","Australia","AU","The Rocks","Historic touristic central district","high","-33.8577866","151.2085595","The Rocks Markets","The Rocks Markets, The Rocks, Sydney, Australia","ok","6132025","australia/new-south-wales/sydney/the-rocks","neighborhood","6132025.jpg","australia/new-south-wales/sydney/the-rocks.jpg","seed:australia/new-south-wales/sydney/the-rocks","0.2","resolved"
"Sydney","Australia","AU","Balmain","Charming upscale peninsula village","medium","-33.8568103","151.1961765","Balmain East Ferry Wharf","Balmain East Ferry Wharf, Balmain, Sydney, Australia","ok","178145","australia/new-south-wales/sydney/balmain","neighborhood","178145.jpg","australia/new-south-wales/sydney/balmain.jpg","seed:australia/new-south-wales/sydney/balmain","1.5","resolved"
"Sydney","Australia","AU","Pyrmont","Waterfront modern business area","medium","-33.86812","151.1969113","Pyrmont Bay Park","Pyrmont Bay Park, Pyrmont, Sydney, Australia","ok","178141","australia/new-south-wales/pyrmont","neighborhood","178141.jpg","australia/new-south-wales/pyrmont.jpg","seed:australia/new-south-wales/pyrmont","0.3","resolved"
"Sydney","Australia","AU","Woollahra","Affluent leafy boutique area","medium","-33.8833276","151.2378259","Woollahra Village","Woollahra Village, Woollahra, Sydney, Australia","ok","178112","australia/new-south-wales/sydney/woollahra","neighborhood","178112.jpg","australia/new-south-wales/sydney/woollahra.jpg","seed:australia/new-south-wales/sydney/woollahra","0.7","resolved"
"Melbourne","Australia","AU","Brunswick","Hip creative multicultural area","high","-37.7978832","144.9785491","Brunswick Street","Brunswick Street, Brunswick, Melbourne, Australia","ok","553248635975749709","australia/victoria/melbourne/brunswick-north","neighborhood","553248635975749709.jpg","australia/victoria/melbourne/brunswick-north.jpg","seed:australia/victoria/melbourne/brunswick-north","5.0","resolved"
"Melbourne","Australia","AU","Carlton","Cultural cafe university district","high","-37.7983459","144.960974","University of Melbourne","University of Melbourne, Carlton, Melbourne, Australia","ok","553248635976431548","australia/victoria/melbourne/carlton-south","neighborhood","553248635976431548.jpg","australia/victoria/melbourne/carlton-south.jpg","seed:australia/victoria/melbourne/carlton-south","0.7","resolved"
"Melbourne","Australia","AU","CBD","Central business district core","high","-37.8179789","144.9690576","Federation Square","Federation Square, CBD, Melbourne, Australia","ok","","","","","","","","unresolved"
"Melbourne","Australia","AU","Collingwood","Trendy artsy cafe district","high","-37.8049791","144.9832515","Smith Street","Smith Street, Collingwood, Melbourne, Australia","ok","6134272","australia/victoria/collingwood","neighborhood","6134272.jpg","australia/victoria/collingwood.jpg","city-slug:australia/victoria/collingwood","0.5","resolved"
"Melbourne","Australia","AU","Fitzroy","Bohemian creative dining hub","high","-37.798538","144.9784336","Brunswick Street","Brunswick Street, Fitzroy, Melbourne, Australia","ok","178400","australia/victoria/fitzroy","neighborhood","178400.jpg","australia/victoria/fitzroy.jpg","city-slug:australia/victoria/fitzroy","0.3","resolved"
"Melbourne","Australia","AU","Prahran","Stylish dining cafe district","high","-37.8477705","144.9939855","Chapel Street","Chapel Street, Prahran, Melbourne, Australia","ok","553248635976430621","australia/victoria/melbourne/prahran-east","city","553248635976430621.jpg","australia/victoria/melbourne/prahran-east.jpg","seed:australia/victoria/melbourne/prahran-east","0.9","resolved"
"Melbourne","Australia","AU","Richmond","Trendy dining nightlife hub","high","-37.8260425","145.0010888","Swan Street","Swan Street, Richmond, Melbourne, Australia","ok","178451","australia/victoria/melbourne/richmond","neighborhood","178451.jpg","australia/victoria/melbourne/richmond.jpg","seed:australia/victoria/melbourne/richmond","0.7","resolved"
"Melbourne","Australia","AU","South Melbourne","Walkable upscale market area","high","-37.8320111","144.9559391","South Melbourne Market","South Melbourne Market, South Melbourne, Melbourne, Australia","ok","55419","australia/victoria/south-melbourne","neighborhood","55419.jpg","australia/victoria/south-melbourne.jpg","city-slug:australia/victoria/south-melbourne","0.6","resolved"
"Melbourne","Australia","AU","South Yarra","Affluent stylish shopping area","high","-37.8410694","144.9953024","Chapel Street","Chapel Street, South Yarra, Melbourne, Australia","ok","6052026","australia/victoria/south-yarra","neighborhood","6052026.jpg","australia/victoria/south-yarra.jpg","city-slug:australia/victoria/south-yarra","0.4","resolved"
"Melbourne","Australia","AU","Southbank","Riverside arts cultural precinct","high","-37.8214366","144.9688428","Arts Centre Melbourne","Arts Centre Melbourne, Southbank, Melbourne, Australia","ok","601789","australia/victoria/southbank","neighborhood","601789.jpg","australia/victoria/southbank.jpg","city-slug:australia/victoria/southbank","0.8","resolved"
"Melbourne","Australia","AU","St Kilda","Beachside eclectic lifestyle district","high","-37.8678765","144.9740049","St Kilda Beach","St Kilda Beach, St Kilda, Melbourne, Australia","ok","181708","australia/victoria/st-kilda","neighborhood","181708.jpg","australia/victoria/st-kilda.jpg","seed:australia/victoria/st-kilda","0.4","resolved"
"Melbourne","Australia","AU","Docklands","Modern waterfront business area","medium","-37.8164974","144.9475972","Docklands Stadium (Marvel Stadium)","Docklands Stadium, Docklands, Melbourne, Australia","ok","6131565","australia/victoria/docklands","neighborhood","6131565.jpg","australia/victoria/docklands.jpg","seed:australia/victoria/docklands","0.2","resolved"
"Melbourne","Australia","AU","Windsor","Trendy cafe boutique strip","medium","-37.8122599","144.9732115","Windsor Hotel","Windsor Hotel, Windsor, Melbourne, Australia","ok","181712","australia/victoria/windsor","neighborhood","181712.jpg","australia/victoria/windsor.jpg","city-slug:australia/victoria/windsor","3.9","resolved"
"Brisbane","Australia","AU","Brisbane CBD","dense walkable business center","high","-27.4685063","153.0239259","King George Square","King George Square, Brisbane CBD, Brisbane, Australia","ok","","","","","","","","unresolved"
"Brisbane","Australia","AU","Fortitude Valley","nightlife creative dining hub","high","-27.4580981","153.0347416","Fortitude Valley Mall","Fortitude Valley Mall, Fortitude Valley, Brisbane, Australia","ok","6129781","australia/queensland/brisbane/fortitude-valley","neighborhood","6129781.jpg","australia/queensland/brisbane/fortitude-valley.jpg","seed:australia/queensland/brisbane/fortitude-valley","0.2","resolved"
"Brisbane","Australia","AU","New Farm","affluent trendy cafe culture","high","-27.4706939","153.0513257","New Farm Park","New Farm Park, New Farm, Brisbane, Australia","ok","6131367","australia/queensland/brisbane/new-farm","neighborhood","6131367.jpg","australia/queensland/brisbane/new-farm.jpg","seed:australia/queensland/brisbane/new-farm","0.6","resolved"
"Brisbane","Australia","AU","Newstead","trendy modern dining precinct","high","-27.3856294","153.1204667","Newstead Brewing Co","Newstead Brewing Co, Newstead, Brisbane, Australia","ok","6131366","australia/queensland/brisbane/newstead","neighborhood","6131366.jpg","australia/queensland/brisbane/newstead.jpg","city-slug:australia/queensland/brisbane/newstead","0.9","resolved"
