"parent_id","neighborhood","city","region","country","country_code","destination"
"neighborhoods/af-kabul/wazir-akbar-khan","Wazir Akbar Khan","Kabul","","Afghanistan","AF","Wazir Akbar Khan, Kabul, Afghanistan"
"neighborhoods/af-kandahar/city-centre","City Centre","Kandahār","","Afghanistan","AF","City Centre, Kandahār, Afghanistan"
"neighborhoods/af-kunduz/city-centre","City Centre","Kunduz","","Afghanistan","AF","City Centre, Kunduz, Afghanistan"
"neighborhoods/af-mazar-e-sharif/city-centre","City Centre","Mazār-e Sharīf","","Afghanistan","AF","City Centre, Mazār-e Sharīf, Afghanistan"
"neighborhoods/al-durres/durres-old-town","Durrës Old Town","Durrës","","Albania","AL","Durrës Old Town, Durrës, Albania"
"neighborhoods/al-elbasan/city-centre","City Centre","Elbasan","","Albania","AL","City Centre, Elbasan, Albania"
"neighborhoods/al-tirana/city-center-skanderbeg","City Center (Skanderbeg)","Tirana","","Albania","AL","City Center (Skanderbeg), Tirana, Albania"
"neighborhoods/al-vlore/city-centre","City Centre","Vlorë","","Albania","AL","City Centre, Vlorë, Albania"
"neighborhoods/am-gyumri/city-centre","City Centre","Gyumri","","Armenia","AM","City Centre, Gyumri, Armenia"
"neighborhoods/am-yerevan/cascade-district","Cascade District","Yerevan","","Armenia","AM","Cascade District, Yerevan, Armenia"
"neighborhoods/am-yerevan/northern-avenue","Northern Avenue","Yerevan","","Armenia","AM","Northern Avenue, Yerevan, Armenia"
"neighborhoods/ao-baia-farta/city-centre","City Centre","Baía Farta","","Angola","AO","City Centre, Baía Farta, Angola"
"neighborhoods/ao-balombo/city-centre","City Centre","Balombo","","Angola","AO","City Centre, Balombo, Angola"
"neighborhoods/ao-benguela/city-center","City Center","Benguela","","Angola","AO","City Center, Benguela, Angola"
"neighborhoods/ao-bocoio/city-centre","City Centre","Bocoio","","Angola","AO","City Centre, Bocoio, Angola"
"neighborhoods/ao-caala/city-centre","City Centre","Caála","","Angola","AO","City Centre, Caála, Angola"
"neighborhoods/ao-cabinda/city-center","City Center","Cabinda","","Angola","AO","City Center, Cabinda, Angola"
"neighborhoods/ao-calumbo/city-centre","City Centre","Calumbo","","Angola","AO","City Centre, Calumbo, Angola"
"neighborhoods/ao-catchiungo/city-centre","City Centre","Catchiungo","","Angola","AO","City Centre, Catchiungo, Angola"
"neighborhoods/ao-chitato/city-centre","City Centre","Chitato","","Angola","AO","City Centre, Chitato, Angola"
"neighborhoods/ao-cuito/city-center","City Center","Cuíto","","Angola","AO","City Center, Cuíto, Angola"
"neighborhoods/ao-dundo/city-centre","City Centre","Dundo","","Angola","AO","City Centre, Dundo, Angola"
"neighborhoods/ao-gabela/city-centre","City Centre","Gabela","","Angola","AO","City Centre, Gabela, Angola"
"neighborhoods/ao-huambo/city-center","city center","Huambo","","Angola","AO","city center, Huambo, Angola"
"neighborhoods/ao-lobito/city-center","City Center","Lobito","","Angola","AO","City Center, Lobito, Angola"
"neighborhoods/ao-lobito/restinga","Restinga","Lobito","","Angola","AO","Restinga, Lobito, Angola"
"neighborhoods/ao-luanda/baixa","Baixa","Luanda","","Angola","AO","Baixa, Luanda, Angola"
"neighborhoods/ao-luanda/ilha-do-cabo","Ilha do Cabo","Luanda","","Angola","AO","Ilha do Cabo, Luanda, Angola"
"neighborhoods/ao-luanda/talatona","Talatona","Luanda","","Angola","AO","Talatona, Luanda, Angola"
"neighborhoods/ao-lubango/city-center","city center","Lubango","","Angola","AO","city center, Lubango, Angola"
"neighborhoods/ao-lucapa/city-centre","City Centre","Lucapa","","Angola","AO","City Centre, Lucapa, Angola"
"neighborhoods/ao-luena/city-centre","City Centre","Luena","","Angola","AO","City Centre, Luena, Angola"
"neighborhoods/ao-malanje/city-center","City Center","Malanje","","Angola","AO","City Center, Malanje, Angola"
"neighborhoods/ao-mbanza-kongo/city-centre","City Centre","Mbanza Kongo","","Angola","AO","City Centre, Mbanza Kongo, Angola"
"neighborhoods/ao-menongue/centro","Centro","Menongue","","Angola","AO","Centro, Menongue, Angola"
"neighborhoods/ao-mossamedes/centro","Centro","Mossamedes","","Angola","AO","Centro, Mossamedes, Angola"
"neighborhoods/ao-n-dalatando/city-centre","City Centre","N'dalatando","","Angola","AO","City Centre, N'dalatando, Angola"
"neighborhoods/ao-ondjiva/city-centre","City Centre","Ondjiva","","Angola","AO","City Centre, Ondjiva, Angola"
"neighborhoods/ao-panguila/city-centre","City Centre","Panguíla","","Angola","AO","City Centre, Panguíla, Angola"
"neighborhoods/ao-ramiros/city-centre","City Centre","Ramiros","","Angola","AO","City Centre, Ramiros, Angola"
"neighborhoods/ao-saurimo/city-centre","City Centre","Saurimo","","Angola","AO","City Centre, Saurimo, Angola"
"neighborhoods/ao-soyo/city-centre","City Centre","Soyo","","Angola","AO","City Centre, Soyo, Angola"
"neighborhoods/ao-sumbe/city-centre","City Centre","Sumbe","","Angola","AO","City Centre, Sumbe, Angola"
"neighborhoods/ao-uige/city-center","City Center","Uíge","","Angola","AO","City Center, Uíge, Angola"
"neighborhoods/ao-zango/city-centre","City Centre","Zango","","Angola","AO","City Centre, Zango, Angola"
"neighborhoods/ar-bahia-blanca/centro","Centro","Bahía Blanca","","Argentina","AR","Centro, Bahía Blanca, Argentina"
"neighborhoods/ar-bahia-blanca/plaza-rivadavia-area","Plaza Rivadavia area","Bahía Blanca","","Argentina","AR","Plaza Rivadavia area, Bahía Blanca, Argentina"
"neighborhoods/ar-catamarca/city-centre","City Centre","Catamarca","","Argentina","AR","City Centre, Catamarca, Argentina"
"neighborhoods/ar-comodoro-rivadavia/city-centre","City Centre","Comodoro Rivadavia","","Argentina","AR","City Centre, Comodoro Rivadavia, Argentina"
"neighborhoods/ar-concordia/city-centre","City Centre","Concordia","","Argentina","AR","City Centre, Concordia, Argentina"
"neighborhoods/ar-cordoba/centro","Centro","Córdoba","","Argentina","AR","Centro, Córdoba, Argentina"
"neighborhoods/ar-cordoba/cerro-de-las-rosas","Cerro de las Rosas","Córdoba","","Argentina","AR","Cerro de las Rosas, Córdoba, Argentina"
"neighborhoods/ar-cordoba/guemes","Güemes","Córdoba","","Argentina","AR","Güemes, Córdoba, Argentina"
"neighborhoods/ar-corrientes/centro","Centro","Corrientes","","Argentina","AR","Centro, Corrientes, Argentina"
"neighborhoods/ar-corrientes/costanera","Costanera","Corrientes","","Argentina","AR","Costanera, Corrientes, Argentina"
"neighborhoods/ar-ezeiza/city-centre","City Centre","Ezeiza","","Argentina","AR","City Centre, Ezeiza, Argentina"
"neighborhoods/ar-formosa/city-centre","City Centre","Formosa","","Argentina","AR","City Centre, Formosa, Argentina"
"neighborhoods/ar-ituzaingo/city-centre","City Centre","Ituzaingó","","Argentina","AR","City Centre, Ituzaingó, Argentina"
"neighborhoods/ar-la-plata/city-centre","City Centre","La Plata","","Argentina","AR","City Centre, La Plata, Argentina"
"neighborhoods/ar-la-rioja/city-centre","City Centre","La Rioja","","Argentina","AR","City Centre, La Rioja, Argentina"
"neighborhoods/ar-mar-del-plata/centro","Centro","Mar del Plata","","Argentina","AR","Centro, Mar del Plata, Argentina"
"neighborhoods/ar-mar-del-plata/playa-grande","Playa Grande","Mar del Plata","","Argentina","AR","Playa Grande, Mar del Plata, Argentina"
"neighborhoods/ar-mendoza/ciudad-de-mendoza-centro","Ciudad de Mendoza Centro","Mendoza","","Argentina","AR","Ciudad de Mendoza Centro, Mendoza, Argentina"
"neighborhoods/ar-merlo/centro","Centro","Merlo","","Argentina","AR","Centro, Merlo, Argentina"
"neighborhoods/ar-neuquen/city-centre","City Centre","Neuquén","","Argentina","AR","City Centre, Neuquén, Argentina"
"neighborhoods/ar-parana/city-centre","City Centre","Paraná","","Argentina","AR","City Centre, Paraná, Argentina"
"neighborhoods/ar-posadas/centro","Centro","Posadas","","Argentina","AR","Centro, Posadas, Argentina"
"neighborhoods/ar-posadas/costanera","Costanera","Posadas","","Argentina","AR","Costanera, Posadas, Argentina"
"neighborhoods/ar-quilmes/centro","Centro","Quilmes","","Argentina","AR","Centro, Quilmes, Argentina"
"neighborhoods/ar-rawson/city-centre","City Centre","Rawson","","Argentina","AR","City Centre, Rawson, Argentina"
"neighborhoods/ar-resistencia/centro","Centro","Resistencia","","Argentina","AR","Centro, Resistencia, Argentina"
"neighborhoods/ar-resistencia/villa-don-andres","Villa Don Andres","Resistencia","","Argentina","AR","Villa Don Andres, Resistencia, Argentina"
"neighborhoods/ar-rio-cuarto/city-centre","City Centre","Río Cuarto","","Argentina","AR","City Centre, Río Cuarto, Argentina"
"neighborhoods/ar-salta/barrio-norte","Barrio Norte","Salta","","Argentina","AR","Barrio Norte, Salta, Argentina"
"neighborhoods/ar-salta/centro-casco-historico","Centro / Casco Histórico","Salta","","Argentina","AR","Centro / Casco Histórico, Salta, Argentina"
"neighborhoods/ar-san-juan/city-centre","City Centre","San Juan","","Argentina","AR","City Centre, San Juan, Argentina"
"neighborhoods/ar-san-luis/city-centre","City Centre","San Luis","","Argentina","AR","City Centre, San Luis, Argentina"
"neighborhoods/ar-san-miguel-de-tucuman/barrio-norte","Barrio Norte","San Miguel de Tucumán","","Argentina","AR","Barrio Norte, San Miguel de Tucumán, Argentina"
"neighborhoods/ar-san-miguel-de-tucuman/centro","Centro","San Miguel de Tucumán","","Argentina","AR","Centro, San Miguel de Tucumán, Argentina"
"neighborhoods/ar-san-miguel-de-tucuman/yerba-buena","Yerba Buena","San Miguel de Tucumán","","Argentina","AR","Yerba Buena, San Miguel de Tucumán, Argentina"
"neighborhoods/ar-san-nicolas-de-los-arroyos/city-centre","City Centre","San Nicolás de los Arroyos","","Argentina","AR","City Centre, San Nicolás de los Arroyos, Argentina"
"neighborhoods/ar-san-rafael/city-centre","City Centre","San Rafael","","Argentina","AR","City Centre, San Rafael, Argentina"
"neighborhoods/ar-santa-fe/centro","Centro","Santa Fe","","Argentina","AR","Centro, Santa Fe, Argentina"
"neighborhoods/ar-santa-fe/recoleta","Recoleta","Santa Fe","","Argentina","AR","Recoleta, Santa Fe, Argentina"
"neighborhoods/ar-santa-rosa/city-centre","City Centre","Santa Rosa","","Argentina","AR","City Centre, Santa Rosa, Argentina"
"neighborhoods/ar-santiago-del-estero/centro","Centro","Santiago del Estero","","Argentina","AR","Centro, Santiago del Estero, Argentina"
"neighborhoods/ar-tandil/city-centre","City Centre","Tandil","","Argentina","AR","City Centre, Tandil, Argentina"
"neighborhoods/at-graz/innere-stadt","Innere Stadt","Graz","","Austria","AT","Innere Stadt, Graz, Austria"
"neighborhoods/at-graz/st-leonhard","St. Leonhard","Graz","","Austria","AT","St. Leonhard, Graz, Austria"
"neighborhoods/at-innsbruck/altstadt","Altstadt","Innsbruck","","Austria","AT","Altstadt, Innsbruck, Austria"
"neighborhoods/at-klagenfurt/innere-stadt","Innere Stadt","Klagenfurt","","Austria","AT","Innere Stadt, Klagenfurt, Austria"
"neighborhoods/at-salzburg/andraviertel","Andräviertel","Salzburg","","Austria","AT","Andräviertel, Salzburg, Austria"
"neighborhoods/au-adelaide/adelaide-cbd","Adelaide CBD","Adelaide","","Australia","AU","Adelaide CBD, Adelaide, Australia"
"neighborhoods/au-ballarat/city-centre","City Centre","Ballarat","","Australia","AU","City Centre, Ballarat, Australia"
"neighborhoods/au-bendigo/city-centre","City Centre","Bendigo","","Australia","AU","City Centre, Bendigo, Australia"
"neighborhoods/au-brisbane/brisbane-cbd","Brisbane CBD","Brisbane","","Australia","AU","Brisbane CBD, Brisbane, Australia"
"neighborhoods/au-canberra/civic","Civic","Canberra","","Australia","AU","Civic, Canberra, Australia"
"neighborhoods/au-canberra/new-acton","New Acton","Canberra","","Australia","AU","New Acton, Canberra, Australia"
"neighborhoods/au-darwin/city-centre","City Centre","Darwin","","Australia","AU","City Centre, Darwin, Australia"
"neighborhoods/au-geelong/central-geelong","Central Geelong","Geelong","","Australia","AU","Central Geelong, Geelong, Australia"
"neighborhoods/au-geelong/geelong-waterfront","Geelong Waterfront","Geelong","","Australia","AU","Geelong Waterfront, Geelong, Australia"
"neighborhoods/au-hobart/hobart-cbd","Hobart CBD","Hobart","","Australia","AU","Hobart CBD, Hobart, Australia"
"neighborhoods/au-hobart/salamanca","Salamanca","Hobart","","Australia","AU","Salamanca, Hobart, Australia"
"neighborhoods/au-logan-city/beenleigh","Beenleigh","Logan City","","Australia","AU","Beenleigh, Logan City, Australia"
"neighborhoods/au-logan-city/springwood","Springwood","Logan City","","Australia","AU","Springwood, Logan City, Australia"
"neighborhoods/au-melbourne/cbd","CBD","Melbourne","","Australia","AU","CBD, Melbourne, Australia"
"neighborhoods/au-newcastle/honeysuckle","Honeysuckle","Newcastle","","Australia","AU","Honeysuckle, Newcastle, Australia"
"neighborhoods/au-perth/perth-cbd","Perth CBD","Perth","","Australia","AU","Perth CBD, Perth, Australia"
"neighborhoods/au-toowoomba/city-centre","City Centre","Toowoomba","","Australia","AU","City Centre, Toowoomba, Australia"
"neighborhoods/au-townsville/the-strand","The Strand","Townsville","","Australia","AU","The Strand, Townsville, Australia"
"neighborhoods/az-baku/baku-boulevard-seaside","Baku Boulevard / Seaside","Baku","","Azerbaijan","AZ","Baku Boulevard / Seaside, Baku, Azerbaijan"
"neighborhoods/az-baku/fountains-square-sahil","Fountains Square / Sahil","Baku","","Azerbaijan","AZ","Fountains Square / Sahil, Baku, Azerbaijan"
"neighborhoods/az-baku/icherisheher-old-city","Icherisheher (Old City)","Baku","","Azerbaijan","AZ","Icherisheher (Old City), Baku, Azerbaijan"
"neighborhoods/az-baku/nizami-street","Nizami Street","Baku","","Azerbaijan","AZ","Nizami Street, Baku, Azerbaijan"
"neighborhoods/az-ganja/city-centre","City Centre","Ganja","","Azerbaijan","AZ","City Centre, Ganja, Azerbaijan"
"neighborhoods/az-mingachevir/city-centre","City Centre","Mingachevir","","Azerbaijan","AZ","City Centre, Mingachevir, Azerbaijan"
"neighborhoods/az-sumqay-t/city-center","City Center","Sumqayıt","","Azerbaijan","AZ","City Center, Sumqayıt, Azerbaijan"
"neighborhoods/az-yevlakh/city-centre","City Centre","Yevlakh","","Azerbaijan","AZ","City Centre, Yevlakh, Azerbaijan"
"neighborhoods/ba-banja-luka/city-centre","City Centre","Banja Luka","","Bosnia and Herzegovina","BA","City Centre, Banja Luka, Bosnia and Herzegovina"
"neighborhoods/ba-mostar/stari-grad","Stari Grad","Mostar","","Bosnia and Herzegovina","BA","Stari Grad, Mostar, Bosnia and Herzegovina"
"neighborhoods/ba-sarajevo/bascarsija","Baščaršija","Sarajevo","","Bosnia and Herzegovina","BA","Baščaršija, Sarajevo, Bosnia and Herzegovina"
"neighborhoods/ba-sarajevo/centar","Centar","Sarajevo","","Bosnia and Herzegovina","BA","Centar, Sarajevo, Bosnia and Herzegovina"
"neighborhoods/ba-sarajevo/marijin-dvor","Marijin Dvor","Sarajevo","","Bosnia and Herzegovina","BA","Marijin Dvor, Sarajevo, Bosnia and Herzegovina"
"neighborhoods/ba-tuzla/city-centre","City Centre","Tuzla","","Bosnia and Herzegovina","BA","City Centre, Tuzla, Bosnia and Herzegovina"
"neighborhoods/ba-zenica/city-centre","City Centre","Zenica","","Bosnia and Herzegovina","BA","City Centre, Zenica, Bosnia and Herzegovina"
"neighborhoods/bd-bagerhat/city-center","City Center","Bagerhat","","Bangladesh","BD","City Center, Bagerhat, Bangladesh"
"neighborhoods/bd-bandarban/town-centre","Town Centre","Bāndarban","","Bangladesh","BD","Town Centre, Bāndarban, Bangladesh"
"neighborhoods/bd-barishal/city-centre","City Centre","Barishal","","Bangladesh","BD","City Centre, Barishal, Bangladesh"
"neighborhoods/bd-bhatara/city-center","City Center","Bhātāra","","Bangladesh","BD","City Center, Bhātāra, Bangladesh"
"neighborhoods/bd-bogra/city-centre","City Centre","Bogra","","Bangladesh","BD","City Centre, Bogra, Bangladesh"
"neighborhoods/bd-brahmanbaria/city-center","City Center","Brāhmanbāria","","Bangladesh","BD","City Center, Brāhmanbāria, Bangladesh"
"neighborhoods/bd-chandpur/city-centre","City Centre","Chāndpur","","Bangladesh","BD","City Centre, Chāndpur, Bangladesh"
"neighborhoods/bd-chattogram/agrabad","Agrabad","Chattogram","","Bangladesh","BD","Agrabad, Chattogram, Bangladesh"
"neighborhoods/bd-chattogram/gec-circle","GEC Circle","Chattogram","","Bangladesh","BD","GEC Circle, Chattogram, Bangladesh"
"neighborhoods/bd-chattogram/khulshi","Khulshi","Chattogram","","Bangladesh","BD","Khulshi, Chattogram, Bangladesh"
"neighborhoods/bd-comilla/city-centre","City Centre","Comilla","","Bangladesh","BD","City Centre, Comilla, Bangladesh"
"neighborhoods/bd-cox-s-bazar/kolatoli","Kolatoli","Cox’s Bāzār","","Bangladesh","BD","Kolatoli, Cox’s Bāzār, Bangladesh"
"neighborhoods/bd-cox-s-bazar/town-center","Town Center","Cox’s Bāzār","","Bangladesh","BD","Town Center, Cox’s Bāzār, Bangladesh"
"neighborhoods/bd-dinajpur/city-centre","City Centre","Dinajpur","","Bangladesh","BD","City Centre, Dinajpur, Bangladesh"
"neighborhoods/bd-faridpur/city-centre","City Centre","Farīdpur","","Bangladesh","BD","City Centre, Farīdpur, Bangladesh"
"neighborhoods/bd-hathazari/town-centre","Town Centre","Hāthazāri","","Bangladesh","BD","Town Centre, Hāthazāri, Bangladesh"
"neighborhoods/bd-jamalpur/city-centre","City Centre","Jamālpur","","Bangladesh","BD","City Centre, Jamālpur, Bangladesh"
"neighborhoods/bd-jessore/city-centre","City Centre","Jessore","","Bangladesh","BD","City Centre, Jessore, Bangladesh"
"neighborhoods/bd-karnaphuli/city-centre","City Centre","Karnaphuli","","Bangladesh","BD","City Centre, Karnaphuli, Bangladesh"
"neighborhoods/bd-khulna/khulna-sadar","Khulna Sadar","Khulna","","Bangladesh","BD","Khulna Sadar, Khulna, Bangladesh"
"neighborhoods/bd-kushtia/city-centre","City Centre","Kushtia","","Bangladesh","BD","City Centre, Kushtia, Bangladesh"
"neighborhoods/bd-maijdi/city-centre","City Centre","Maijdi","","Bangladesh","BD","City Centre, Maijdi, Bangladesh"
"neighborhoods/bd-mirpur-model-thana/mirpur-dohs","Mirpur DOHS","Mirpur Model Thana","","Bangladesh","BD","Mirpur DOHS, Mirpur Model Thana, Bangladesh"
"neighborhoods/bd-mohammadpur/city-centre","City Centre","Mohammadpur","","Bangladesh","BD","City Centre, Mohammadpur, Bangladesh"
"neighborhoods/bd-mymensingh/city-centre","City Centre","Mymensingh","","Bangladesh","BD","City Centre, Mymensingh, Bangladesh"
"neighborhoods/bd-nagar-naluakot/town-centre","Town Centre","Nagar Naluākot","","Bangladesh","BD","Town Centre, Nagar Naluākot, Bangladesh"
"neighborhoods/bd-nagarpur/city-centre","City Centre","Nāgarpur","","Bangladesh","BD","City Centre, Nāgarpur, Bangladesh"
"neighborhoods/bd-narayanganj/city-centre","City Centre","Narayanganj","","Bangladesh","BD","City Centre, Narayanganj, Bangladesh"
"neighborhoods/bd-narsingdi/central-bazar","Central Bazar","Narsingdi","","Bangladesh","BD","Central Bazar, Narsingdi, Bangladesh"
"neighborhoods/bd-natore/natore-sadar","Natore Sadar","Natore","","Bangladesh","BD","Natore Sadar, Natore, Bangladesh"
"neighborhoods/bd-pabna/city-centre","City Centre","Pābna","","Bangladesh","BD","City Centre, Pābna, Bangladesh"
"neighborhoods/bd-pallabi/mirpur","Mirpur","Pallabi","","Bangladesh","BD","Mirpur, Pallabi, Bangladesh"
"neighborhoods/bd-par-naogaon/city-centre","City Centre","Pār Naogaon","","Bangladesh","BD","City Centre, Pār Naogaon, Bangladesh"
"neighborhoods/bd-rajshahi/shaheb-bazar","Shaheb Bazar","Rajshahi","","Bangladesh","BD","Shaheb Bazar, Rajshahi, Bangladesh"
"neighborhoods/bd-rangamati/city-centre","City Centre","Rangamati","","Bangladesh","BD","City Centre, Rangamati, Bangladesh"
"neighborhoods/bd-rangpur/city-centre","City Centre","Rangpur","","Bangladesh","BD","City Centre, Rangpur, Bangladesh"
"neighborhoods/bd-saidpur/city-centre","City Centre","Saidpur","","Bangladesh","BD","City Centre, Saidpur, Bangladesh"
"neighborhoods/bd-satkhira/city-centre","City Centre","Sātkhira","","Bangladesh","BD","City Centre, Sātkhira, Bangladesh"
"neighborhoods/bd-savar/central","Central","Savar","","Bangladesh","BD","Central, Savar, Bangladesh"
"neighborhoods/bd-shahzadpur/city-centre","City Centre","Shāhzādpur","","Bangladesh","BD","City Centre, Shāhzādpur, Bangladesh"
"neighborhoods/bd-sherpur/city-centre","City Centre","Sherpur","","Bangladesh","BD","City Centre, Sherpur, Bangladesh"
"neighborhoods/bd-shibganj/town-center","Town Center","Shibganj","","Bangladesh","BD","Town Center, Shibganj, Bangladesh"
"neighborhoods/bd-sirajganj/city-centre","City Centre","Sirajganj","","Bangladesh","BD","City Centre, Sirajganj, Bangladesh"
"neighborhoods/bd-sonargaon/city-centre","City Centre","Sonārgaon","","Bangladesh","BD","City Centre, Sonārgaon, Bangladesh"
"neighborhoods/bd-sylhet/city-centre","City Centre","Sylhet","","Bangladesh","BD","City Centre, Sylhet, Bangladesh"
"neighborhoods/bd-tangail/city-centre","City Centre","Tangail","","Bangladesh","BD","City Centre, Tangail, Bangladesh"
"neighborhoods/bd-tungipara/city-centre","City Centre","Tungipara","","Bangladesh","BD","City Centre, Tungipara, Bangladesh"
"neighborhoods/be-antwerpen/eilandje","Eilandje","Antwerpen","","Belgium","BE","Eilandje, Antwerpen, Belgium"
"neighborhoods/be-antwerpen/het-zuid-zuid","Het Zuid (Zuid)","Antwerpen","","Belgium","BE","Het Zuid (Zuid), Antwerpen, Belgium"
"neighborhoods/be-antwerpen/historic-centre-old-town","Historic Centre / Old Town","Antwerpen","","Belgium","BE","Historic Centre / Old Town, Antwerpen, Belgium"
"neighborhoods/be-antwerpen/university-quarter","University Quarter","Antwerpen","","Belgium","BE","University Quarter, Antwerpen, Belgium"
"neighborhoods/be-bruges/historic-centre","Historic Centre","Bruges","","Belgium","BE","Historic Centre, Bruges, Belgium"
"neighborhoods/be-brussels/city-centre","City Centre","Brussels","","Belgium","BE","City Centre, Brussels, Belgium"
"neighborhoods/be-brussels/sablon","Sablon","Brussels","","Belgium","BE","Sablon, Brussels, Belgium"
"neighborhoods/be-brussels/saint-gilles","Saint-Gilles","Brussels","","Belgium","BE","Saint-Gilles, Brussels, Belgium"
"neighborhoods/be-charleroi/city-centre","City Centre","Charleroi","","Belgium","BE","City Centre, Charleroi, Belgium"
"neighborhoods/be-gent/kuip-historic-center","Kuip (Historic Center)","Gent","","Belgium","BE","Kuip (Historic Center), Gent, Belgium"
"neighborhoods/be-gent/sint-pieters","Sint-Pieters","Gent","","Belgium","BE","Sint-Pieters, Gent, Belgium"
"neighborhoods/be-leuven/binnenstad","Binnenstad","Leuven","","Belgium","BE","Binnenstad, Leuven, Belgium"
"neighborhoods/be-liege/le-carre","Le Carré","Liège","","Belgium","BE","Le Carré, Liège, Belgium"
"neighborhoods/be-namur/city-centre","City Centre","Namur","","Belgium","BE","City Centre, Namur, Belgium"
"neighborhoods/bf-banfora/city-centre","City Centre","Banfora","","Burkina Faso","BF","City Centre, Banfora, Burkina Faso"
"neighborhoods/bf-bobo-dioulasso/city-centre","City Centre","Bobo-Dioulasso","","Burkina Faso","BF","City Centre, Bobo-Dioulasso, Burkina Faso"
"neighborhoods/bf-kaya/city-centre","City Centre","Kaya","","Burkina Faso","BF","City Centre, Kaya, Burkina Faso"
"neighborhoods/bf-koudougou/city-centre","City Centre","Koudougou","","Burkina Faso","BF","City Centre, Koudougou, Burkina Faso"
"neighborhoods/bf-ouagadougou/koulouba","Koulouba","Ouagadougou","","Burkina Faso","BF","Koulouba, Ouagadougou, Burkina Faso"
"neighborhoods/bf-ouagadougou/ouaga-2000","Ouaga 2000","Ouagadougou","","Burkina Faso","BF","Ouaga 2000, Ouagadougou, Burkina Faso"
"neighborhoods/bf-ouahigouya/city-centre","City Centre","Ouahigouya","","Burkina Faso","BF","City Centre, Ouahigouya, Burkina Faso"
"neighborhoods/bf-saaba/city-centre","City Centre","Saaba","","Burkina Faso","BF","City Centre, Saaba, Burkina Faso"
"neighborhoods/bg-burgas/tsentar","Tsentar","Burgas","","Bulgaria","BG","Tsentar, Burgas, Bulgaria"
"neighborhoods/bg-plovdiv/city-center","City Center","Plovdiv","","Bulgaria","BG","City Center, Plovdiv, Bulgaria"
"neighborhoods/bg-plovdiv/kapana","Kapana","Plovdiv","","Bulgaria","BG","Kapana, Plovdiv, Bulgaria"
"neighborhoods/bg-ruse/tsentar","Tsentar","Ruse","","Bulgaria","BG","Tsentar, Ruse, Bulgaria"
"neighborhoods/bg-sofia/doctor-s-garden","Doctor's Garden","Sofia","","Bulgaria","BG","Doctor's Garden, Sofia, Bulgaria"
"neighborhoods/bg-sofia/vitosha-boulevard","Vitosha Boulevard","Sofia","","Bulgaria","BG","Vitosha Boulevard, Sofia, Bulgaria"
"neighborhoods/bg-stara-zagora/city-centre","City Centre","Stara Zagora","","Bulgaria","BG","City Centre, Stara Zagora, Bulgaria"
"neighborhoods/bg-varna/greek-quarter","Greek Quarter","Varna","","Bulgaria","BG","Greek Quarter, Varna, Bulgaria"
"neighborhoods/bh-al-muharraq/old-muharraq","Old Muharraq","Al Muharraq","","Bahrain","BH","Old Muharraq, Al Muharraq, Bahrain"
